title,listed_in,description,new_description,cluster_id,,,
Grandmother's Farm Part 2,"Comedies, Horror Movies, International Movies","After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah â€” and right into more terror.",after their haunting experience on a desert farm a group of buddies escapes on a faraway getaway to seaside fujairah â€” and right into more terror,9,,,
Intuition,"Dramas, International Movies, Thrillers","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".",police officer pipa works on her first big case while simultaneously investigating her boss who is suspected of murder the prequel to perdida,19,,,
I'm No Longer Here,"Dramas, Independent Movies, International Movies","A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life.",a terrible misunderstanding with a local gang sends 17 year old ulises leader of a group hooked on cumbia music across the border to save his life,10,,,
Hannah Gadsby: Douglas,Stand-Up Comedy,"Hannah Gadsby returns for her second special and digs deep into the complexities of popularity, identity and her most unusual dog park encounter.",hannah gadsby returns for her second special and digs deep into the complexities of popularity identity and her most unusual dog park encounter,6,,,
Ne Zha,"Action & Adventure, Comedies, International Movies","Bound by a divine mandate, rebellious outcast Ne Zha grapples with his formidable powers and a destiny that would imperil his loved ones.",bound by a divine mandate rebellious outcast ne zha grapples with his formidable powers and a destiny that would imperil his loved ones,24,,,
Uncut Gems,"Dramas, Thrillers","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.",with his debts mounting and angry collectors closing in a fast talking new york city jeweler risks everything in hopes of staying afloat and alive,18,,,
One Day We'll Talk About Today,"Dramas, International Movies","Harboring a deep secret, a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them.",harboring a deep secret a seemingly happy family confronts the trauma of years past as a clash between generations threatens to separate them,0,,,
Si Doel the Movie 3,"Dramas, International Movies, Music & Musicals","Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves.",torn between reuniting with one family and leaving another behind doel must choose between the two women he loves,0,,,
Living in Bondage: Breaking Free,"Horror Movies, International Movies, Thrillers","Mentored by an enigmatic tycoon, an ambitious young man faces a crisis when his rise in power draws him deep into the occult.",mentored by an enigmatic tycoon an ambitious young man faces a crisis when his rise in power draws him deep into the occult,0,,,
Modest Heroes: Ponoc Short Films Theatre,"Anime Features, Children & Family Movies",Two underwater siblings surviving on their own. A boy with a serious egg allergy. A man invisible to the rest of society. Three short animated tales.,two underwater siblings surviving on their own a boy with a serious egg allergy a man invisible to the rest of society three short animated tales,10,,,
The Lovebirds,"Action & Adventure, Comedies, Romantic Movies","When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names.",when a couple in the fast lane to splitsville accidentally careens into a murder they take off on a wild race to find the killer and clear their names,11,,,
#FriendButMarried,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",pining for his high school crush for years a young man puts up his best efforts to move out of the friend zone until she reveals she s getting married,11,,,
Bye Bye London,"Comedies, Dramas, International Movies","In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.",in this satirical play a wealthy kuwaiti businessman travels to london for pleasure and encounters a host of eccentric characters,14,,,
Fifty Year Old Teenager,"Comedies, International Movies",The life of a married 50-year-old doctor turns topsy-turvy when he falls in love with a younger woman and begins to act like a teenager.,the life of a married 50 year old doctor turns topsy turvy when he falls in love with a younger woman and begins to act like a teenager,12,,,
Lock Your Girls In,"Comedies, International Movies, Romantic Movies",A widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love.,a widower believes he must marry off his three problematic daughters before he can pursue his real goal of marrying his secret love,14,,,
